# Blacklist IP Spesifik - IP dari domain blacklist.txt
# Last updated: 2025-12-05 22:34:11 UTC
# Total entries: 280
# Format: <ip> # <source>
#
# PRIORITAS: Level 2 - Blacklist IP Spesifik
# IP dengan marker 'Berasal dari IP domain' akan di-update otomatis
# IP manual (tanpa marker) tidak akan dihapus otomatis
#
172.66.44.176 # Berasal dari IP domain asassassaasas.pages.dev (URLhaus Malware Domains)
172.66.44.177 # Berasal dari IP domain office-a98.pages.dev (URLhaus Malware Domains)
172.66.44.181 # Berasal dari IP domain hzxcaq-github-io.pages.dev (URLhaus Malware Domains)
172.66.44.187 # Berasal dari IP domain skyrim-specialedition-download-free-togetherreborn.pages.dev (URLhaus Malware Domains)
172.66.44.195 # Berasal dari IP domain apkqeqew.pages.dev (URLhaus Malware Domains)
172.66.44.196 # Berasal dari IP domain huzhonghe2011.pages.dev (URLhaus Malware Domains)
172.66.44.197 # Berasal dari IP domain axiang-new.pages.dev (URLhaus Malware Domains)
172.66.44.200 # Berasal dari IP domain movseek.pages.dev (URLhaus Malware Domains)
172.66.44.201 # Berasal dari IP domain acted.pages.dev (URLhaus Malware Domains)
172.66.44.210 # Berasal dari IP domain chuanshi.pages.dev (URLhaus Malware Domains)
172.66.44.215 # Berasal dari IP domain paccbet.pages.dev (URLhaus Malware Domains)
172.66.44.217 # Berasal dari IP domain vccvbbcvbc.pages.dev (URLhaus Malware Domains)
172.66.44.235 # Berasal dari IP domain matthewsigmondv5.pages.dev (URLhaus Malware Domains)
172.66.44.241 # Berasal dari IP domain namerena-help.pages.dev (URLhaus Malware Domains)
172.66.44.247 # Berasal dari IP domain zeva.pages.dev (URLhaus Malware Domains)
172.66.44.250 # Berasal dari IP domain miner.pages.dev (URLhaus Malware Domains)
172.66.44.251 # Berasal dari IP domain work-6km.pages.dev (URLhaus Malware Domains)
172.66.44.52 # Berasal dari IP domain dfbjrofi489cio43-as-3-fg9232-29hc4ujhblasiuert89guoc45t.pages.dev (URLhaus Malware Domains)
172.66.44.56 # Berasal dari IP domain msi-bj2.pages.dev (URLhaus Malware Domains)
172.66.44.57 # Berasal dari IP domain maorunzhia-github-io.pages.dev (URLhaus Malware Domains)
172.66.44.59 # Berasal dari IP domain legd.pages.dev (URLhaus Malware Domains)
172.66.44.67 # Berasal dari IP domain rekakurevittool-site.pages.dev (URLhaus Malware Domains)
172.66.44.80 # Berasal dari IP domain matthieumarchand.pages.dev (URLhaus Malware Domains)
172.66.44.85 # Berasal dari IP domain wahelper-website.pages.dev (URLhaus Malware Domains)
172.66.44.89 # Berasal dari IP domain playmarket22.pages.dev (URLhaus Malware Domains)
172.66.44.90 # Berasal dari IP domain 123123-b5b.pages.dev (URLhaus Malware Domains)
172.66.45.24 # Berasal dari IP domain jailbreak-bsa.pages.dev (URLhaus Malware Domains)
172.66.45.29 # Berasal dari IP domain v10-eq8.pages.dev (URLhaus Malware Domains)
172.66.45.30 # Berasal dari IP domain unikey.pages.dev (URLhaus Malware Domains)
172.66.45.41 # Berasal dari IP domain app-9h4.pages.dev (URLhaus Malware Domains)
172.66.45.7 # Berasal dari IP domain which-browser-site.pages.dev (URLhaus Malware Domains)
172.66.46.215 # Berasal dari IP domain app-9h4.pages.dev (URLhaus Malware Domains)
172.66.46.226 # Berasal dari IP domain unikey.pages.dev (URLhaus Malware Domains)
172.66.46.227 # Berasal dari IP domain v10-eq8.pages.dev (URLhaus Malware Domains)
172.66.46.232 # Berasal dari IP domain jailbreak-bsa.pages.dev (URLhaus Malware Domains)
172.66.46.249 # Berasal dari IP domain which-browser-site.pages.dev (URLhaus Malware Domains)
172.66.47.100 # Berasal dari IP domain fb6390d5.infinityindians.pages.dev (URLhaus Malware Domains)
172.66.47.103 # Berasal dari IP domain exo-tweaks.pages.dev (URLhaus Malware Domains)
172.66.47.107 # Berasal dari IP domain piccomics-xyz.pages.dev (URLhaus Malware Domains)
172.66.47.111 # Berasal dari IP domain marcuschan-org.pages.dev (URLhaus Malware Domains)
172.66.47.115 # Berasal dari IP domain actedapk.pages.dev (URLhaus Malware Domains)
172.66.47.122 # Berasal dari IP domain lotteryminer-site.pages.dev (URLhaus Malware Domains)
172.66.47.128 # Berasal dari IP domain qichao.pages.dev (URLhaus Malware Domains)
172.66.47.132 # Berasal dari IP domain rika.pages.dev (URLhaus Malware Domains)
172.66.47.133 # Berasal dari IP domain mc-5lj.pages.dev (URLhaus Malware Domains)
172.66.47.141 # Berasal dari IP domain hayfrp.pages.dev (URLhaus Malware Domains)
172.66.47.15 # Berasal dari IP domain namerena-help.pages.dev (URLhaus Malware Domains)
172.66.47.166 # Berasal dari IP domain 123123-b5b.pages.dev (URLhaus Malware Domains)
172.66.47.167 # Berasal dari IP domain playmarket22.pages.dev (URLhaus Malware Domains)
172.66.47.171 # Berasal dari IP domain wahelper-website.pages.dev (URLhaus Malware Domains)
172.66.47.176 # Berasal dari IP domain matthieumarchand.pages.dev (URLhaus Malware Domains)
172.66.47.189 # Berasal dari IP domain rekakurevittool-site.pages.dev (URLhaus Malware Domains)
172.66.47.197 # Berasal dari IP domain legd.pages.dev (URLhaus Malware Domains)
172.66.47.199 # Berasal dari IP domain maorunzhia-github-io.pages.dev (URLhaus Malware Domains)
172.66.47.200 # Berasal dari IP domain msi-bj2.pages.dev (URLhaus Malware Domains)
172.66.47.204 # Berasal dari IP domain dfbjrofi489cio43-as-3-fg9232-29hc4ujhblasiuert89guoc45t.pages.dev (URLhaus Malware Domains)
172.66.47.21 # Berasal dari IP domain matthewsigmondv5.pages.dev (URLhaus Malware Domains)
172.66.47.39 # Berasal dari IP domain vccvbbcvbc.pages.dev (URLhaus Malware Domains)
172.66.47.41 # Berasal dari IP domain paccbet.pages.dev (URLhaus Malware Domains)
172.66.47.46 # Berasal dari IP domain chuanshi.pages.dev (URLhaus Malware Domains)
172.66.47.5 # Berasal dari IP domain work-6km.pages.dev (URLhaus Malware Domains)
172.66.47.55 # Berasal dari IP domain acted.pages.dev (URLhaus Malware Domains)
172.66.47.56 # Berasal dari IP domain movseek.pages.dev (URLhaus Malware Domains)
172.66.47.59 # Berasal dari IP domain axiang-new.pages.dev (URLhaus Malware Domains)
172.66.47.6 # Berasal dari IP domain miner.pages.dev (URLhaus Malware Domains)
172.66.47.60 # Berasal dari IP domain huzhonghe2011.pages.dev (URLhaus Malware Domains)
172.66.47.61 # Berasal dari IP domain apkqeqew.pages.dev (URLhaus Malware Domains)
172.66.47.69 # Berasal dari IP domain skyrim-specialedition-download-free-togetherreborn.pages.dev (URLhaus Malware Domains)
172.66.47.75 # Berasal dari IP domain hzxcaq-github-io.pages.dev (URLhaus Malware Domains)
172.66.47.79 # Berasal dari IP domain office-a98.pages.dev (URLhaus Malware Domains)
172.66.47.80 # Berasal dari IP domain asassassaasas.pages.dev (URLhaus Malware Domains)
172.66.47.81 # Berasal dari IP domain genix-dk4.pages.dev (URLhaus Malware Domains)
172.66.47.83 # Berasal dari IP domain www-martiansoftware-com.pages.dev (URLhaus Malware Domains)
172.66.47.85 # Berasal dari IP domain libretv-16e.pages.dev (URLhaus Malware Domains)
172.66.47.87 # Berasal dari IP domain a-gwo.pages.dev (URLhaus Malware Domains)
172.66.47.9 # Berasal dari IP domain zeva.pages.dev (URLhaus Malware Domains)
172.66.47.93 # Berasal dari IP domain hwrjz.pages.dev (URLhaus Malware Domains)
172.66.47.96 # Berasal dari IP domain mt526-github-io.pages.dev (URLhaus Malware Domains)
172.67.129.78 # Berasal dari IP domain zovwowgyl.simzqlupasdali1976.workers.dev (URLhaus Malware Domains)
172.67.133.95 # Berasal dari IP domain skybet138-a1.site (URLhaus Malware Domains)
172.67.136.204 # Berasal dari IP domain wind.silverh1ll.ru (URLhaus Malware Domains)
172.67.142.217 # Berasal dari IP domain lhdhdhd.sbs (URLhaus Malware Domains)
172.67.143.62 # Berasal dari IP domain sapu4dw.lol (URLhaus Malware Domains)
172.67.146.39 # Berasal dari IP domain blenderx.mouthrunnbeva1986.workers.dev (URLhaus Malware Domains)
172.67.148.110 # Berasal dari IP domain blenderx.osloyverjua1977.workers.dev (URLhaus Malware Domains)
172.67.149.121 # Berasal dari IP domain buayakota.com (URLhaus Malware Domains)
172.67.149.183 # Berasal dari IP domain addons1.12cloudaddons198756.workers.dev (URLhaus Malware Domains)
